Effective area for WFIRST (m^2) - parameters as of 2019 03 25

Mirror surfaces are coated with Ag

   Wave      R062      Z087      Y106      J129      H158      F184      W146    SNPrism   BAO-Grism_1st   BAO-Grism_0th
     1.235    0.0000    0.0000    0.0024    2.3258    0.0000    0.0000    2.3258    2.2565      1.8972      0.0000
     1.240    0.0000    0.0000    0.0007    2.3245    0.0000    0.0000    2.3245    2.2553      1.9013      0.0000
     1.245    0.0000    0.0000    0.0002    2.3241    0.0000    0.0000    2.3241    2.2549      1.9057      0.0000
     1.250    0.0000    0.0000    0.0000    2.3225    0.0000    0.0000    2.3225    2.2534      1.9086      0.0000
     1.255    0.0000    0.0000    0.0000    2.3227    0.0000    0.0000    2.3227    2.2535      1.9124      0.0000
     1.260    0.0000    0.0000    0.0000    2.3228    0.0000    0.0000    2.3228    2.2536      1.9158      0.0000
     1.265    0.0000    0.0000    0.0000    2.3226    0.0000    0.0000    2.3226    2.2534      1.9184      0.0000
     1.270    0.0000    0.0000    0.0000    2.3225    0.0000    0.0000    2.3225    2.2534      1.9208      0.0000
     1.275    0.0000    0.0000    0.0000    2.3232    0.0000    0.0000    2.3232    2.2540      1.9233      0.0000
     1.280    0.0000    0.0000    0.0000    2.3240    0.0000    0.0000    2.3240    2.2548      1.9256      0.0000
     1.285    0.0000    0.0000    0.0000    2.3236    0.0000    0.0000    2.3236    2.2544      1.9264      0.0000
     1.290    0.0000    0.0000    0.0000    2.3247    0.0000    0.0000    2.3247    2.2555      1.9280      0.0000
     1.295    0.0000    0.0000    0.0000    2.3252    0.0000    0.0000    2.3252    2.2559      1.9288      0.0000
     1.300    0.0000    0.0000    0.0000    2.3256    0.0000    0.0000    2.3256    2.2564      1.9291      0.0000
     1.305    0.0000    0.0000    0.0000    2.3266    0.0000    0.0000    2.3266    2.2574      1.9296      0.0000
     1.310    0.0000    0.0000    0.0000    2.3263    0.0000    0.0000    2.3263    2.2570      1.9285      0.0000
     1.315    0.0000    0.0000    0.0000    2.3273    0.0001    0.0000    2.3273    2.2580      1.9282      0.0000
     1.320    0.0000    0.0000    0.0000    2.3284    0.0002    0.0000    2.3284    2.2590      1.9276      0.0000
     1.325    0.0000    0.0000    0.0000    2.3282    0.0008    0.0000    2.3282    2.2588      1.9257      0.0000
     1.330    0.0000    0.0000    0.0000    2.3294    0.0023    0.0000    2.3294    2.2601      1.9246      0.0000
