#  z  dl_cm  age_gyr  dl_K_sum
0.3440  5.61604415e+27  9.64955e+00  41.404
0.3450  5.63509255e+27  9.64086e+00  41.409
0.3460  5.65415460e+27  9.63218e+00  41.413
0.3470  5.67323027e+27  9.62351e+00  41.417
0.3480  5.69231955e+27  9.61486e+00  41.422
0.3490  5.71142242e+27  9.60621e+00  41.426
0.3500  5.73053887e+27  9.59758e+00  41.430
0.3510  5.74966887e+27  9.58896e+00  41.434
0.3520  5.76881241e+27  9.58035e+00  41.439
0.3530  5.78796948e+27  9.57175e+00  41.443
0.3540  5.80714005e+27  9.56316e+00  41.447
0.3550  5.82632411e+27  9.55458e+00  41.451
0.3560  5.84552165e+27  9.54602e+00  41.455
0.3570  5.86473264e+27  9.53746e+00  41.460
0.3580  5.88395707e+27  9.52892e+00  41.464
0.3590  5.90319492e+27  9.52039e+00  41.468
0.3600  5.92244618e+27  9.51187e+00  41.472
0.3610  5.94171083e+27  9.50336e+00  41.477
0.3620  5.96098885e+27  9.49486e+00  41.481
0.3630  5.98028022e+27  9.48637e+00  41.485
0.3640  5.99958493e+27  9.47790e+00  41.489
0.3650  6.01890297e+27  9.46943e+00  41.493
0.3660  6.03823431e+27  9.46098e+00  41.498
0.3670  6.05757894e+27  9.45253e+00  41.502
0.3680  6.07693685e+27  9.44410e+00  41.506
0.3690  6.09630800e+27  9.43568e+00  41.510
0.3700  6.11569240e+27  9.42727e+00  41.514
0.3710  6.13509002e+27  9.41887e+00  41.518
0.3720  6.15450085e+27  9.41048e+00  41.522
0.3730  6.17392487e+27  9.40210e+00  41.526
0.3740  6.19336206e+27  9.39374e+00  41.530
0.3750  6.21281241e+27  9.38538e+00  41.534
0.3760  6.23227590e+27  9.37704e+00  41.538
0.3770  6.25175251e+27  9.36870e+00  41.542
0.3780  6.27124223e+27  9.36038e+00  41.546
0.3790  6.29074504e+27  9.35207e+00  41.550
0.3800  6.31026092e+27  9.34376e+00  41.554
0.3810  6.32978987e+27  9.33547e+00  41.558
0.3820  6.34933185e+27  9.32719e+00  41.562
0.3830  6.36888687e+27  9.31893e+00  41.565
0.3840  6.38845489e+27  9.31067e+00  41.569
0.3850  6.40803591e+27  9.30242e+00  41.573
0.3860  6.42762990e+27  9.29418e+00  41.577
0.3870  6.44723746e+27  9.28596e+00  41.580
0.3880  6.46685737e+27  9.27774e+00  41.584
0.3890  6.48649021e+27  9.26953e+00  41.588
0.3900  6.50613597e+27  9.26134e+00  41.592
0.3910  6.52579462e+27  9.25316e+00  41.595
0.3920  6.54546615e+27  9.24498e+00  41.599
0.3930  6.56515054e+27  9.23682e+00  41.603
0.3940  6.58484779e+27  9.22867e+00  41.606
0.3950  6.60455786e+27  9.22053e+00  41.610
0.3960  6.62428075e+27  9.21240e+00  41.613
0.3970  6.64401644e+27  9.20428e+00  41.617
0.3980  6.66376492e+27  9.19617e+00  41.621
0.3990  6.68352616e+27  9.18807e+00  41.624
0.4000  6.70330016e+27  9.17998e+00  41.628
0.4010  6.72308689e+27  9.17190e+00  41.631
0.4020  6.74288635e+27  9.16383e+00  41.635
0.4030  6.76269851e+27  9.15577e+00  41.638
0.4040  6.78252335e+27  9.14773e+00  41.641
0.4050  6.80236087e+27  9.13969e+00  41.645
0.4060  6.82221105e+27  9.13166e+00  41.648
0.4070  6.84207387e+27  9.12365e+00  41.651
0.4080  6.86194931e+27  9.11564e+00  41.655
0.4090  6.88183736e+27  9.10765e+00  41.658
0.4100  6.90173801e+27  9.09966e+00  41.661
0.4110  6.92165123e+27  9.09169e+00  41.664
0.4120  6.94157702e+27  9.08372e+00  41.667
0.4130  6.96151535e+27  9.07577e+00  41.670
0.4140  6.98146622e+27  9.06782e+00  41.673
